ID,Coordinates (X),Coordinates (Y),Coordinates (Z),Region,Location,Puzzle Type,Description,Found
HE-62,-4429,3684,0307,Hebra,Hebra Northwest Range,Lift Rock,On the little plateau,FALSE
HE-63,-4508,3465,0260,Hebra,Hebra West Range,Lift Rock,South Southwest from the Otak Shrine on a little plateau near the edge of the map,FALSE
HE-64,-4272,3499,0390,Hebra,Sherfin's Secret Hot Springs,Flowers,Small overlook above the Hot Spring,FALSE
HE-65,-4422,3215,0391,Hebra,Hebra West Summit,Shield Surf,At the peak,FALSE
HE-66,-3992,3835,0220,Hebra,Hebra North Range,Fly,Fly over to the target,FALSE
HE-67,-3971,3735,0183,Hebra,Hebra North Range,Shoot Target,Repair the skeleton in Great Fossil Hebra Cave,FALSE
HE-68,-3975,3713,0235,Hebra,Hebra North Summit,Shoot Target,Repair the skeleton in Great Fossil Hebra Cave,FALSE
HE-69,-4005,3623,0524,Hebra,Hebra North Summit,Lift Rock,At the summit,FALSE
HE-70,-4122,3430,0222,Hebra,Sturnida Basin,Find Friend,Bring his friend back from the East,FALSE
HE-71,-4187,3374,0242,Hebra,Sturnida Basin,Build Puzzle,Side of the mountain next to the huge black rock,FALSE
HE-72,-4249,3127,0194,Hebra,Hebra West Range,Chase Lights,Group of trees on the side of the mountain,FALSE
HE-73,-4036,3365,0265,Hebra,Sturnida Basin,Lift Rock,On top of a small peak under a rock,FALSE
HE-74,-4632,2820,0242,Hebra,Hebra West Summit,Shoot Target,At the edge of the world,FALSE
HE-75,-4331,2602,0336,Hebra,Hebra West Summit,Build Puzzle,On the mountain peak,FALSE
HE-76,-4479,1943,0162,Hebra,Lake Kilsie,Chase Lights,Top of the southern rock,FALSE
HE-77,-4252,2145,0018,Hebra,Lake Kilsie,Build Puzzle,Wood frame with three statues,FALSE
HE-78,-4261,2176,-0010,Hebra,Lake Kilsie,Find Friend,On the shore,FALSE
HE-79,-4117,2414,-0013,Hebra,Lake Kilsie,Find Friend,On an island in the lake,FALSE
HE-80,-4065,2505,0019,Hebra,Lake Kilsie,Rock Pattern,On a cliff above the lake,FALSE
HE-81,-3851,2738,0029,Hebra,Lake Kilsie,Melt Ice,On a small cliff on the north end of Lake Kilsie,FALSE
HE-82,-3751,2798,0137,Hebra,Lake Kilsie,Lift Rock,In the valley east of the north end of Lake Kilsie,FALSE
HE-83,-3797,3028,0246,Hebra,Biron Snowshelf,Build Puzzle,In a small corner of the Biron Snowshelf,FALSE
HE-84,-3948,3161,0322,Hebra,Biron Snowshelf,Block Puzzle,On top of the mountian,FALSE
HE-85,-3852,3343,0308,Hebra,Biron Snowshelf,Flowers,"Follow the flowers from here, leading East",FALSE
HE-86,-3839,3416,0275,Hebra,Biron Snowshelf,Ascend Through Stump,Under the cliff,FALSE
HE-87,-3760,3844,0269,Hebra,Hebra North Crest,Chase Lights,Atop a high rock structure,FALSE
HE-88,-3668,3385,0323,Hebra,Hebra Tundra,Find Friend,Bring the Korok to his friend in the West,FALSE
HE-89,-3577,3265,0387,Hebra,Hebra Tundra,Lift Rock,In an ice block at the top of the mountain,FALSE
HE-90,-3469,3471,0481,Hebra,Goflam's Secret Hot Spring,Shoot Target,On top of mountain,FALSE
HE-91,-3414,3508,0436,Hebra,Goflam's Secret Hot Spring,Chase Lights,Top of the tree without leaves,FALSE
HE-92,-3427,3799,0245,Hebra,Hebras North Crest,Chase Lights,Speed run to the light circle,FALSE
HE-93,-3237,3687,0243,Hebra,Hebras North Crest,Find Friend,Bring his friend back,FALSE
HE-94,-2892,3493,0246,Hebra,Hebras East Crest,Find Friend,Atop a rock near some trees,FALSE
HE-95,-3001,3219,0560,Hebra,Selmie's Spot,Ascend Through Stump,Beneath the hanging rock,FALSE
HE-96,-3351,2991,0515,Hebra,Hebra Tundra,Lift Rock,On top of the hill,FALSE
HE-97,-3677,2466,0321,Hebra,Hebra South Summit,Burn Leaves,Atop the peak,FALSE
HE-98,-3793,2324,0171,Hebra,Dronoc's Pass,Flowers,On the rooftop of the flight range building,FALSE
HE-99,-3567,2256,0151,Hebra,Hebra Trailhead Lodge,Chase Lights,Sparkle cloud on the roof of the Rito chalet,FALSE
HE-100,-3957,2036,0207,Hebra,Lake Totori,Lift Rock,Next to the cave entrance,FALSE
HE-101,-4109,2048,0186,Hebra,Lake Totori,Block Puzzle,West of Lake Totori,FALSE
HE-102,-3945,1969,0209,Hebra,Lake Totori,Lift Rock,At the top of the tree,FALSE
HE-103,-4127,1938,0198,Hebra,Passer Hill,Flowers,"On the small mountain northwest of Passer Hill, in a small valley",FALSE
HE-104,-4061,1794,0150,Hebra,Passer Hill,Ascend Through Stump,Under the rock overhang,FALSE
HE-105,-4224,1739,0124,Hebra,Dragon Bone Mire,Flowers,Underneath the spine of the dragon bones in the northwest corner of Dragon Bone Mire,FALSE
HE-106,-4169,1696,0110,Hebra,Dragon Bone Mire,Lift Rock,"In Dragon Bone Mire, on the small island in the mud",FALSE
HE-107,-3876,1762,0111,Hebra,Rito Village,Block Puzzle,West of Rito Village on a cliffside,FALSE
HE-108,-3984,1709,0179,Hebra,Passer Hill,Lift Rock,Top of the large tree,FALSE
HE-109,-4008,1654,0173,Hebra,Passer Hill,Rock Pattern,The missing rock in on the ledge above,FALSE
HE-110,-3774,1866,0260,Hebra,Lake Totori,Build Puzzle,On top of the highest pillar,FALSE
HE-111,-3613,1878,0402,Hebra,Lake Totori,Lift Rock,At the highest point,FALSE
HE-112,-3650,1805,0168,Hebra,Lake Totori,Lift Rock,"In a small ""cave"" immediately to the east of Gatakis Shrine",FALSE
HE-113,-3551,1754,0183,Hebra,Lake Totori,Shoot Target,On top of rock near Rito Village,FALSE
HE-114,-3696,1685,0102,Hebra,Lake Totori,Lift Rock,Southwest of Rito Village,FALSE
HE-115,-3597,1535,0142,Hebra,Old Column Ruins,Flowers,Old column ruins,FALSE
HE-116,-3820,1318,0287,Hebra,Cuho Mountain,Glide to Stump,Land on the platform to the west,FALSE
HE-117,-3614,0987,0288,Hebra,Nero Hill,Find Friend,On top of the cube structure,FALSE
HE-118,-3715,1039,0197,Hebra,Nero Hill,Ascend Through Stump,On the northwest side of Nero Hill,FALSE
HE-119,-3557,0769,0187,Hebra,Piper Ridge,Find Friend,Bring his friend back,FALSE
HE-120,-3820,0834,0124,Hebra,Rayne Highlands,Lift Rock,North of Rayne Highlands,FALSE
HE-121,-3981,0929,0112,Hebra,Gisa Crater,Chase Lights,On top of the tree pointed by their arrows,FALSE
HE-122,-4056,0773,0102,Hebra,Rayne Highlands,Place an Item,"West of Rayne Highlands, near the edge of the world",FALSE
HE-123,-3965,0623,0188,Hebra,Rayne Highlands,Glide to Stump,On top of the pillar,FALSE
HE-124,-3820,0175,0049,Hebra,Tanagar Canyon,Block Puzzle,Windmill,FALSE
HE-125,-3599,0111,-0102,Hebra,Tanagar Canyon,Ascend Through Stump,Under the arch,FALSE
HE-126,-3649,0511,0286,Hebra,Ancient Columns,Flowers,Top of pillar,FALSE
HE-127,-3531,0491,0283,Hebra,Ancient Columns,Block Puzzle,Hanging over the edge of the mountain,FALSE
HE-128,-3547,0576,0169,Hebra,Tabantha Frontier,Shoot Target,Underneath the rocky arch,FALSE
HE-129,-3552,0594,0211,Hebra,Tabantha Frontier,Burn Leaves,On top of the rock pile,FALSE
HE-130,-3540,0756,0186,Hebra,Piper Ridge,Catch Leaves,In the pond,FALSE
HE-131,-3435,0708,0172,Hebra,Piper Ridge,Ascend Through Stump,In the small alcove,FALSE
HE-132,-3443,0662,0250,Hebra,Piper Ridge,Flowers,On top of the column,FALSE
HE-133,-3225,0578,0168,Hebra,Tabantha Great Bridge,Shoot Target,Under the bridge,FALSE
HE-134,-3440,1314,0120,Hebra,Strock Lake,Build Puzzle,On a cliff along the eastern side of Strock Lake,FALSE
HE-135,-3283,1340,0188,Hebra,Strock Lake,Lift Rock,Peak of the mountain,FALSE
HE-136,-3148,1107,0156,Hebra,Kalomi Bridge,Lift Rock,On the cliffside by the black rock,FALSE
HE-137,-3105,1327,0219,Hebra,Kalomi Bridge,Shoot Target,Hanging under the bridge,FALSE
HE-138,-3137,1553,0124,Hebra,Tabantha Frontier,Build Puzzle,On a cliffside ledge,FALSE
HE-139,-3063,2841,0429,Hebra,Coldsnap Hollow,Rock Pattern,On the ice shelf,FALSE
HE-140,-2797,2876,0600,Hebra,Hebra Mountains,Find Friend,Ruins under mountain ledge,FALSE
HE-141,-2831,2840,0581,Hebra,Hebra Mountains,Find Friend,Bring him to his Friend to the north,FALSE
HE-142,-3157,2691,0594,Hebra,Talonto Peak,Chase Lights,"Top of Talonto Peak, at the top of the tree",FALSE
HE-143,-3161,2465,0314,Hebra,Talonto Peak,Rock Pattern,On the mountainside,FALSE
